Store ID,Store Name,Industry,City,Merchant,Device ID,Device Type,Device description,Int Device description,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25
3317,St Christophers Inn Hammersmith,Hotel,London,Beds & Bars,SBRU,Mini,"Top of stairs, level 1",,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,82.00 ,16.00 ,32.00 ,32.00 ,21.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3319,St Christophers Inn Shepherds Bush,Hotel,London,Beds & Bars,FHXU,Mini,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9.00 ,6.00 ,3.00 ,0.00 ,8.00 ,2.00 ,12.00 ,55.00 ,4.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3319,St Christophers Inn Shepherds Bush,Hotel,London,Beds & Bars,KVTE,Mini,Chill out area,By the bar,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,22.00 ,0.00 ,4.00 ,4.00 ,30.00 ,0.00 ,10.00 ,30.00 ,5.00 ,0.00 ,8.00 ,5.00 ,0.00 ,17.16 ,10.32 ,0.00 ,16.20 ,9.00 ,9.00 ,3.58 ,13.74 ,26.80 ,3.58 ,0.00 ,30.76 ,0.00 
3785,St Enoch's Shopping Centre,Shopping Centre,Glasgow,,7QHL,Mini,Ground level by the lifts,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,0.00 ,8.00 ,64.00 ,38.00 ,79.00 ,40.00 ,26.00 ,74.00 ,38.00 ,22.00 ,42.00 ,30.00 ,124.00 ,64.00 ,47.00 ,113.00 ,26.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3785,St Enoch's Shopping Centre,Shopping Centre,Glasgow,,GFJN,Mini,Ground level by the lifts,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,0.00 ,4.00 ,6.00 ,12.00 ,0.00 ,0.00 ,2.00 ,3.00 ,64.00 ,29.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3785,St Enoch's Shopping Centre,Shopping Centre,Glasgow,,"GFJN,7QHL",Decker,Ground level by the lifts,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,82.99 ,53.00 ,14.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3785,St Enoch's Shopping Centre,Shopping Centre,Glasgow,,XBY9,Max,Level 1 Food Court,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,112.00 ,190.00 ,251.00 ,186.00 ,462.00 ,246.00 ,308.00 ,300.00 ,340.00 ,318.00 ,400.00 ,475.00 ,418.00 ,523.00 ,296.00 ,503.91 ,469.99 ,72.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
4506,St George's Shopping Centre,Shopping Centre,Gravesend,,"JQEV,X2VJ",Decker,"Main Lobby, next to Photo-Me booth",Mall,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.88 ,7.92 ,10.06 ,18.96 ,4.74 ,15.96 ,66.28 ,62.80 ,41.70 ,41.50 
3987,St Helier Hospital,Hospital,Sutton,Epsom and St Helier University Hospitals NHS Trust,QR99,Mini,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,236.00 ,260.00 ,252.00 ,344.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3987,St Helier Hospital,Hospital,Sutton,Epsom and St Helier University Hospitals NHS Trust,U4KN,Mini,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.00 ,18.00 ,30.00 ,34.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3987,St Helier Hospital,Hospital,Sutton,Epsom and St Helier University Hospitals NHS Trust,XD38,Max Jr,A&E Waiting Room,A&E,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,28.00 ,387.00 ,456.00 ,371.50 ,356.00 ,381.00 ,420.00 ,466.96 ,474.95 ,608.98 ,471.00 ,633.00 ,545.00 ,678.00 ,718.00 ,621.16 ,938.88 ,632.40 ,775.32 ,731.88 ,898.80 ,801.80 ,547.62 ,553.64 ,979.82 ,894.58 ,1059.44 ,1115.80 ,714.84 
4000,St James's Hospital,Hospital,Leeds,The Leeds Teaching Hospitals NHS Trust,DUFY,Max Jr,In A&E reception ,A&E,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,43.24 ,325.62 ,277.14 ,371.52 ,322.52 ,327.96 ,421.54 ,133.20 
